和风天气中国城市列表 v1.3

城市/地区编码	英文	中文	国家代码	国家英文	国家中文	省英文	省中文	所属上级市英文	所属上级市中文	纬度	经度
CN101043600	xiushan	秀山	CN	China	中国	chongqing	重庆	chongqing	重庆	28.444772	108.996043
CN101043700	jiangbei	江北	CN	China	中国	zhongqing	重庆	jiangbei	江北	29.575352	106.532844
CN101043800	shapingba	沙坪坝	CN	China	中国	zhongqing	重庆	shapingba	沙坪坝	29.541224	106.4542
CN101043900	jiulongpo	九龙坡	CN	China	中国	zhongqing	重庆	jiulongpo	九龙坡	29.523492	106.480989
CN101044000	nanan	南岸	CN	China	中国	zhongqing	重庆	nanan	南岸	29.523992	106.560813
CN101044100	kaizhou	开州	CN	China	中国	zhongqing	重庆	kaizhou	开州	31.167735	108.413317
CN101050101	haerbin	哈尔滨	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.756967	126.642464
CN101050102	shuangcheng	双城	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.377942	126.308784
CN101050103	hulan	呼兰	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.98423	126.603302
CN101050104	acheng	阿城	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.538372	126.972726
CN101050105	binxian	宾县	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.759369	127.48594
CN101050106	yilan	依兰	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	46.315105	129.565594
CN101050107	bayan	巴彦	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	46.081889	127.403602
CN101050108	tonghe	通河	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.977618	128.747786
CN101050109	fangzheng	方正	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.839536	128.836131
CN101050110	yanshou	延寿	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.455648	128.331886
CN101050111	shangzhi	尚志	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.214953	127.968539
CN101050112	wuchang	五常	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	44.919418	127.15759
CN101050113	mulan	木兰	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.949826	128.042675
CN101050114	daoli	道里	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.762035	126.612532
CN101050115	nangang	南岗	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.755971	126.652098
CN101050116	daowai	道外	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.78454	126.648838
CN101050117	pingfang	平房	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.605567	126.629257
CN101050118	songbei	松北	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.814656	126.563066
CN101050119	xiangfang	香坊	CN	China	中国	heilongjiang	黑龙江	haerbin	哈尔滨	45.713067	126.667049
CN101050201	qiqihaer	齐齐哈尔	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.342081	123.95792
CN101050202	nehe	讷河	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	48.481133	124.882172
CN101050203	longjiang	龙江	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.336388	123.187225
CN101050204	gannan	甘南	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.917838	123.506034
CN101050205	fuyu	富裕	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.797172	124.469106
CN101050206	yian	依安	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.890098	125.307561
CN101050207	baiquan	拜泉	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.607363	126.091911
CN101050208	keshan	克山	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	48.034342	125.874355
CN101050209	kedong	克东	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	48.03732	126.249094
CN101050210	tailai	泰来	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	46.39233	123.41953
CN101050211	longsha	龙沙	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.341736	123.957338
CN101050212	jianhua	建华	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.354494	123.955888
CN101050213	tiefeng	铁锋	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.339499	123.973555
CN101050214	angangxi	昂昂溪	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.156867	123.813181
CN101050215	fulaerji	富拉尔基	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.20697	123.638873
CN101050216	nianzishan	碾子山	CN	China	中国	heilongjiang	黑龙江	qiqihaer	齐齐哈尔	47.51401	122.887972
